# word	clue	clue_type	freq
# Derived from dwyl/english-words (Unlicense) and Webster's
# 1913 via matthewreagan/WebstersEnglishDictionary (public
# domain). Regenerate with scripts/build_bank.py.
GNAT	A blood-sucking dipterous fly, of the genus Culex, undergoing a metamorphosis in water	proper	15
GNAW	To bite, as something hard or tough, which is not readily separated or crushed	definition	16
GOAD	A pointed instrument used to urge on a beast	definition	23
GOAF	That part of a mine from which the mineral has been partially or wholly removed	definition	3
GOBY	One of several species of small marine fishes of the genus Gobius and allied genera	proper	3
GOLD	An old English name of some yellow flower	proper	537
GORY	Covered with gore or clotted blood	definition	1
GOUR	A fire worshiper	definition	2
GOWN	A loose, flowing upper garment	definition	70
GRAB	A vessel used on the Malabar coast, having two or three masts	proper	5
GRAF	A German title of nobility, equivalent to earl in English, or count in French	proper	1
GRIM	Of forbidding or fear-inspiring aspect	definition	15
GRIT	Sand or gravel	definition	15
GROG	A mixture of spirit and water not sweetened	definition	8
GROS	A heavy silk with a dull finish	definition	1
GROW	To increase in size by a natural and organic process	definition	313
GULP	To swallow eagerly, or in large draughts	definition	5
GULY	Of or pertaining to gules	definition	1
GUST	A sudden squall	definition	16
GYLE	Fermented wort used for making vinegar	definition	1
HACK	A frame or grating of various kinds	definition	19
HAIK	A large piece of woolen or cotton cloth worn by Arabs as an outer garment	proper	1
HARD	Not easily penetrated, cut, or separated into parts	definition	636
HARL	A filamentous substance	definition	2
HAUL	To pull or draw with force	definition	40
HAWK	One of numerous species and genera of rapacious birds of the family Falconidæ	proper	158
HAZY	Thick with haze	definition	7
HEEL	To lean or tip to one side, as a ship	definition	46
HERO	An illustrious man, supposed to be exalted, after death, to a place among the gods	definition	52
HERR	A title of respect given to gentlemen in Germany, equivalent to the English Mister	proper	1
HEWN	Felled, cut, or shaped as with an ax	definition	18
HIDE	To conceal, or withdraw from sight	definition	116
HIND	The female of the red deer, of which the male is the stag	definition	133
HINT	To bring to mind by a slight mention or remote allusion	definition	36
HOAX	A deception for mockery or mischief	definition	11
HOCK	A Rhenish wine, of a light yellow color, either sparkling or still	proper	18
HOLY	Set apart to the service or worship of God	proper	288
HONK	The cry of a wild goose	definition	2
HOOT	To cry out or shout in contempt	definition	7
HOSE	Close-fitting trousers or breeches, as formerly worn, reaching to the knee	definition	31
HOUR	The twenty-fourth part of a day	definition	194
HOWL	To utter a loud, protraced, mournful sound or cry, as dogs and wolves often do	definition	12
HULL	The outer covering of anything, particularly of a nut or of grain	definition	28
HUMP	A protuberance	definition	17
HUNT	To search for or follow after, as game or wild animals	definition	62
HURT	A band on a trip-hammer helve, bearing the trunnions	definition	66
HUSK	The external covering or envelope of certain fruits or seeds	definition	31
HYMN	An ode or song of praise or adoration	definition	39
ICED	Covered with ice	definition	5
IDEA	The transcript, image, or picture of a visible object, that is formed by the mind	definition	243
IDLY	In a idle manner	definition	35
IMPI	A body of Kaffir warriors	proper	1
INCA	An emperor or monarch of Peru before, or at the time of, the Spanish conquest	proper	1
INKY	Consisting of, or resembling, ink	definition	11
IRAN	The native name of Persia	proper	2
IRIS	The goddess of the rainbow, and swift-footed messenger of the gods	definition	40
ISIS	The principal goddess worshiped by the Egyptians	proper	8
JADE	A stone, commonly of a pale to dark green color but sometimes whitish	definition	27
JAMB	The vertical side of any opening, as a door or fireplace	definition	13
JANE	A coin of Genoa	proper	8
JAVA	One of the islands of the Malay Archipelago belonging to the Netherlands	proper	25
JEAN	A twilled cotton cloth	definition	10
JERK	To cut into long slices or strips and dry in the sun	definition	30
JIBB	To shift, or swing round, as a sail, boom, yard, etc., as in tacking	definition	1
JILT	A woman who capriciously deceives her lover	definition	2
JOHN	A proper name of a man	definition	289
JOKE	Something said for the sake of exciting a laugh	definition	23
JOLT	To shake with short, abrupt risings and fallings, as a carriage moving on rough ground	definition	8
JOSS	A Chinese household divinity	proper	1
JUBA	The mane of an animal	definition	1
JULY	The seventh month of the year, containing thirty-one days	definition	43
JUMP	A kind of loose jacket for men	definition	19
JUNE	The sixth month of the year, containing thirty days	definition	40
JURA	A range of mountains between France and Switzerland	proper	2
JURY	For temporary use	definition	90
JUTE	The coarse, strong fiber of the East Indian Corchorus olitorius, and C	proper	9
KALI	The last and worst of the four ages of the world	definition	6
KAMA	The Hindoo Cupid	proper	1
KATE	The brambling finch	definition	1
KELP	The calcined ashes of seaweed	definition	18
KEMP	Coarse, rough hair wool or fur, injuring its quality	definition	2
KERF	A notch, channel, or slit made in any material by cutting or sawing	definition	3
KIBE	A chap or crack in the flesh occasioned by cold	definition	1
KILN	A large stove or oven	definition	27
KISH	A workman's name for the graphite which forms incidentally in iron smelting	definition	1
KISS	To salute with the lips, as a mark of affection, reverence, submission, forgiveness, etc	definition	38
